ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0120039	plasma membrane bounded cell projection morphogenesis	51/686	473/12179	5.56794798505043e-06	0.000485104282237627	0.000379231131825507	NEXN/PDPN/CXCL12/CCKAR/ADARB1/PLXNA4/LAMA2/PDLIM5/CRABP2/EPHB2/FLRT3/ADCY1/EPHB6/TUBA1A/RPS6KA5/RND2/SEMA3A/EPHB3/GDNF/POSTN/KIAA1755/ROBO1/PLEKHG4/FGF13/TNIK/ULK2/KANK1/ARHGEF28/GAS7/ENPP2/NEDD4L/SLITRK6/VEGFA/GDF7/SEMA6D/CHL1/RAC3/SCN1B/SPTBN4/PLPPR4/EGR2/PAK3/KALRN/FGFR2/NRXN3/CDH4/EPHA4/NGF/LGI1/EPHA5/MYO16	51
GO:0040013	negative regulation of locomotion	34/686	265/12179	5.70486480176747e-06	0.000485104282237627	0.000379231131825507	DUSP1/CXCL12/ADARB1/CCN3/CITED2/RAP2B/FOXO3/NEDD9/ING2/ALOX15B/DUSP10/SEMA3A/ROBO1/RHOB/APOD/KANK1/SAP30/MCTP1/DNAI3/SPINT2/THBS1/SEMA6D/TNFAIP6/STC1/FRMD5/RGCC/SFRP2/EPHA4/HMOX1/NAV3/ADORA1/CYP19A1/ACVR1C/IL24	34
GO:0060047	heart contraction	24/686	155/12179	5.76160186169515e-06	0.000485104282237627	0.000379231131825507	CACNB2/TBX18/PDE5A/ABCC9/SGCD/CORIN/ATP2A2/CLIC2/ADRA1B/ADM2/FGF13/NEDD4L/GCH1/TGFB2/AGT/SCN1B/SPTBN4/KCNE3/STC1/CACNA1G/KCND3/KCND2/ADORA1/PKP2	24
GO:0051952	regulation of amine transport	12/686	46/12179	6.12997743317971e-06	0.000506194674962955	0.000395718583692512	CXCL12/OXTR/ABAT/LEP/GDNF/SLC38A2/P2RX7/ADRA2A/PER2/ADORA1/SLC7A5/HTR2A	12
GO:0086003	cardiac muscle cell contraction	13/686	54/12179	6.64326034319979e-06	0.000538229432333961	0.000420761812005246	CACNB2/ABCC9/SGCD/ATP2A2/FGF13/NEDD4L/SCN1B/KCNE3/STC1/CACNA1G/KCND3/ADORA1/PKP2	13
GO:0003015	heart process	25/686	167/12179	6.84133856301614e-06	0.000544013107214654	0.00042528321008691	CACNB2/TBX18/PDE5A/ABCC9/SGCD/CORIN/ATP2A2/CLIC2/ADRA1B/ADM2/FGF13/NEDD4L/GCH1/TGFB2/AGT/SCN1B/SPTBN4/KCNE3/STC1/CACNA1G/KCND3/KCND2/ADORA1/RAMP3/PKP2	25
GO:0048858	cell projection morphogenesis	51/686	477/12179	7.06958831318164e-06	0.00055194204030549	0.0004314816675739	NEXN/PDPN/CXCL12/CCKAR/ADARB1/PLXNA4/LAMA2/PDLIM5/CRABP2/EPHB2/FLRT3/ADCY1/EPHB6/TUBA1A/RPS6KA5/RND2/SEMA3A/EPHB3/GDNF/POSTN/KIAA1755/ROBO1/PLEKHG4/FGF13/TNIK/ULK2/KANK1/ARHGEF28/GAS7/ENPP2/NEDD4L/SLITRK6/VEGFA/GDF7/SEMA6D/CHL1/RAC3/SCN1B/SPTBN4/PLPPR4/EGR2/PAK3/KALRN/FGFR2/NRXN3/CDH4/EPHA4/NGF/LGI1/EPHA5/MYO16	51
GO:0007610	behavior	46/686	414/12179	7.38183314714193e-06	0.000566028420246919	0.000442493720042023	CXCL12/ADARB1/GDF15/NR4A3/EPHB2/OXTR/ADCY1/ABAT/TUBA1A/NEDD9/PPP1R1B/GPR37/PRKCE/NEGR1/LEP/ALDH1A3/GLS/PLK2/GDNF/PER3/SLC7A11/ADM2/FGF13/NPAS2/SLITRK6/ITGA8/GCNT4/THBS1/CHL1/SPTBN4/ADCY8/CAMK4/EGR2/NRXN3/RASD2/EPHA4/MCHR1/KCNQ3/KCND2/ADORA1/NGF/PTGS2/GRIN2A/RCAN1/HTR2A/CHD7	46
GO:0031214	biomineral tissue development	20/686	117/12179	7.58381911400475e-06	0.000571314373255024	0.000446626023168257	COL1A1/GPM6B/FBN2/TMEM119/TENT5A/LEP/PKDCC/S1PR1/FAM20A/P2RX7/SOX9/LGR4/AXIN2/RSPO2/CCN1/FGFR2/SLC24A3/PTGS2/ENPP1/CCR1	20
GO:0009612	response to mechanical stimulus	23/686	149/12179	9.46712659080612e-06	0.000700893820360715	0.000547924985446111	CXCL12/COL11A1/COL1A1/USP53/IGFBP2/CITED2/PIEZO2/TUBA1A/POSTN/TRPA1/SLC38A2/P2RX7/SOX9/SLITRK6/BDKRB1/THBS1/PKD1L2/GDF5/KCNQ3/TMC2/PTGS2/ASIC2/HTR2A	23
GO:0045444	fat cell differentiation	27/686	192/12179	9.77225164020094e-06	0.00071122116174615	0.000555998402865313	SORT1/INHBB/ZBTB16/FOXO1/CEBPD/NR4A3/STEAP4/KLF5/LEP/DUSP10/ALDH6A1/SOCS1/TRIB3/AXIN2/FGF10/MAFB/FRZB/NR4A1/EGR2/LMO3/SFRP2/PER2/FABP4/PTGS2/ENPP1/FNDC5/HTR2A	27
GO:0010817	regulation of hormone levels	39/686	332/12179	1.01815789618196e-05	0.000728661667700889	0.000569632549284959	CCKAR/SOX4/INHBB/RAB11FIP1/CCN3/FOXO1/IRS2/C1QTNF1/CRABP2/PNPLA2/DHRS3/ABAT/CORIN/LIF/PRKCE/LEP/ALDH1A3/HSD17B6/ADH1B/ADH1A/GPR68/ADH1C/GCNT4/AGT/ADCY8/PLB1/ADRA2A/DIO2/TRPV6/PER2/ADORA1/CYP19A1/RAPGEF4/EPHA5/ACVR1C/SLC7A5/IL4I1/RBP1/CHD7	39
GO:0002521	leukocyte differentiation	45/686	409/12179	1.19577757519165e-05	0.000841749001290647	0.000658038772611936	VCAM1/SOX4/FSTL3/ZBTB16/TGFBR2/CITED2/FZD8/FOXO3/LIF/PIK3R1/NEDD9/PIK3R3/SMARCD2/LEP/DUSP10/KLF6/RASSF2/LRRC17/NFIL3/SOCS1/GPR68/VEGFA/TNFSF13B/FZD5/IL34/UBASH3B/TNFAIP6/MAFB/TNFRSF11B/CAMK4/BATF3/MERTK/PRDM1/BLNK/LFNG/EGR3/INPP5D/IL31RA/PLCG2/TNFSF9/BATF2/IL4I1/SIGLEC15/CCR1/CHD7	45
GO:0015837	amine transport	12/686	49/12179	1.24376902452326e-05	0.000847737173222679	0.000662720036625676	CXCL12/OXTR/ABAT/LEP/GDNF/SLC38A2/P2RX7/ADRA2A/PER2/ADORA1/SLC7A5/HTR2A	12
GO:0042310	vasoconstriction	12/686	49/12179	1.24376902452326e-05	0.000847737173222679	0.000662720036625676	OXTR/ACTA2/LEP/ADRA1B/BDKRB2/AGT/ADRA2A/ARHGAP42/PER2/PTGS2/ASIC2/HTR2A	12
GO:0030855	epithelial cell differentiation	46/686	424/12179	1.3774081789954e-05	0.000924154800094726	0.000722459651779001	PDPN/KLF15/SOX4/ERRFI1/TJP2/FST/ANXA4/COL4A1/KLF5/AQP3/MYADM/CFLAR/LIF/MAFF/TST/NCOA3/ACTA2/ALOX15B/S1PR1/TUBB/CDKN2B/GDNF/TAGLN/SLC7A11/SOX9/SLITRK6/SPINT2/VEGFA/GDF7/FZD5/FGF10/MTSS1/MAFB/FRZB/COL27A1/STC1/NRG1/LBH/PRDM1/SFRP4/FGFR2/HPSE/E2F7/IL31RA/XDH/TMEM100	46
GO:0018108	peptidyl-tyrosine phosphorylation	26/686	186/12179	1.5852389500806e-05	0.00104723323871478	0.000818676439159033	ERRFI1/TSLP/RAP2B/ARHGEF2/EPHB2/LIF/NEDD9/PRKCE/LEP/PKDCC/ENPP2/SOCS1/VEGFA/IL34/FGF10/AGT/IL12A/GPRC5B/ADRA2A/FGFR2/SFRP2/EPHA4/IL31RA/PLCG2/HTR2A/IL24	26
GO:0051960	regulation of nervous system development	38/686	328/12179	1.81336801185181e-05	0.00117978821861995	0.000922301529472954	CXCL12/WNT2/PLXNA4/DAAM2/CTSC/CRABP2/EPHB2/OXTR/FLRT3/WASF3/LIF/RND2/DUSP10/SEMA3A/EPHB3/CDKN2B/ROBO1/FGF13/LRRTM2/ULK2/HMGB2/SLITRK6/TENM4/VEGFA/CDON/SEMA6D/TYMP/IL34/HAPLN3/EGR2/CDH4/EPHA4/PER2/NGF/LRRN1/SLC7A5/ASIC2/CHD7	38
GO:0018212	peptidyl-tyrosine modification	26/686	188/12179	1.92012093970772e-05	0.00123059691270223	0.000962021316060944	ERRFI1/TSLP/RAP2B/ARHGEF2/EPHB2/LIF/NEDD9/PRKCE/LEP/PKDCC/ENPP2/SOCS1/VEGFA/IL34/FGF10/AGT/IL12A/GPRC5B/ADRA2A/FGFR2/SFRP2/EPHA4/IL31RA/PLCG2/HTR2A/IL24	26
GO:0032990	cell part morphogenesis	51/686	496/12179	2.08270930166166e-05	0.00131516966784341	0.00102813621718251	NEXN/PDPN/CXCL12/CCKAR/ADARB1/PLXNA4/LAMA2/PDLIM5/CRABP2/EPHB2/FLRT3/ADCY1/EPHB6/TUBA1A/RPS6KA5/RND2/SEMA3A/EPHB3/GDNF/POSTN/KIAA1755/ROBO1/PLEKHG4/FGF13/TNIK/ULK2/KANK1/ARHGEF28/GAS7/ENPP2/NEDD4L/SLITRK6/VEGFA/GDF7/SEMA6D/CHL1/RAC3/SCN1B/SPTBN4/PLPPR4/EGR2/PAK3/KALRN/FGFR2/NRXN3/CDH4/EPHA4/NGF/LGI1/EPHA5/MYO16	51
GO:0070482	response to oxygen levels	33/686	270/12179	2.17132787398632e-05	0.00135125824505757	0.00105634852633751	PDPN/VCAM1/CXCL12/SOX4/COL1A1/HIF3A/FOXO1/CBS/CITED2/OXTR/AGTRAP/ABAT/AQP3/CFLAR/LIF/PRKCE/LEP/POSTN/DDAH1/VEGFA/TGFB2/THBS1/STC1/FGFR2/ANG/RGCC/EPHA4/HMOX1/KCND2/ADORA1/HSD11B2/PTGS2/SLC7A5	33
GO:0048812	neuron projection morphogenesis	48/686	458/12179	2.23412846451884e-05	0.00135684275613719	0.00106071422776493	NEXN/CXCL12/CCKAR/ADARB1/PLXNA4/LAMA2/PDLIM5/CRABP2/EPHB2/FLRT3/ADCY1/EPHB6/TUBA1A/RPS6KA5/RND2/SEMA3A/EPHB3/GDNF/POSTN/KIAA1755/ROBO1/PLEKHG4/FGF13/TNIK/ULK2/ARHGEF28/GAS7/NEDD4L/SLITRK6/VEGFA/GDF7/SEMA6D/CHL1/RAC3/SCN1B/SPTBN4/PLPPR4/EGR2/PAK3/KALRN/FGFR2/NRXN3/CDH4/EPHA4/NGF/LGI1/EPHA5/MYO16	48
GO:0050730	regulation of peptidyl-tyrosine phosphorylation	23/686	157/12179	2.26540776865512e-05	0.00135684275613719	0.00106071422776493	ERRFI1/TSLP/RAP2B/ARHGEF2/LIF/NEDD9/PRKCE/LEP/ENPP2/SOCS1/VEGFA/IL34/FGF10/AGT/IL12A/GPRC5B/ADRA2A/SFRP2/EPHA4/IL31RA/PLCG2/HTR2A/IL24	23
GO:0043410	positive regulation of MAPK cascade	37/686	319/12179	2.2750973088467e-05	0.00135684275613719	0.00106071422776493	GDF15/C1QTNF1/NEK10/CFLAR/LIF/ACTA2/GPR37/PRKCE/LEP/SEMA3A/BMPER/GADD45B/ROBO1/ADRA1B/TNIK/CCN2/RASSF2/P2RX7/VEGFA/TGFB2/THBS1/CDON/IL34/FGF10/DOK6/NRG1/ADRA2A/CCL8/FGFR2/ADORA1/RAMP3/CCL7/PLCG2/XDH/GADD45G/HTR2A/CCR1	37
GO:0035150	regulation of tube size	16/686	88/12179	2.77803725614396e-05	0.00157434540373819	0.00123074730775405	CBS/OXTR/GCLM/ACTA2/LEP/ADRA1B/BDKRB2/GCH1/AGT/ADRA2A/ARHGAP42/PER2/ADORA1/PTGS2/ASIC2/HTR2A	16
GO:0035296	regulation of tube diameter	16/686	88/12179	2.77803725614396e-05	0.00157434540373819	0.00123074730775405	CBS/OXTR/GCLM/ACTA2/LEP/ADRA1B/BDKRB2/GCH1/AGT/ADRA2A/ARHGAP42/PER2/ADORA1/PTGS2/ASIC2/HTR2A	16
GO:0097746	blood vessel diameter maintenance	16/686	88/12179	2.77803725614396e-05	0.00157434540373819	0.00123074730775405	CBS/OXTR/GCLM/ACTA2/LEP/ADRA1B/BDKRB2/GCH1/AGT/ADRA2A/ARHGAP42/PER2/ADORA1/PTGS2/ASIC2/HTR2A	16
GO:0046883	regulation of hormone secretion	23/686	159/12179	2.7864520420145e-05	0.00157434540373819	0.00123074730775405	CCKAR/SOX4/INHBB/RAB11FIP1/CCN3/FOXO1/IRS2/C1QTNF1/ABAT/LIF/PRKCE/LEP/GPR68/AGT/ADCY8/ADRA2A/PER2/ADORA1/CYP19A1/RAPGEF4/EPHA5/ACVR1C/CHD7	23
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	18/686	108/12179	3.05735641224133e-05	0.00170497252391744	0.00133286529031273	TSLP/ARHGEF2/LIF/NEDD9/LEP/ENPP2/VEGFA/IL34/FGF10/AGT/IL12A/GPRC5B/ADRA2A/EPHA4/IL31RA/PLCG2/HTR2A/IL24	18
GO:0045671	negative regulation of osteoclast differentiation	8/686	24/12179	3.1932061654454e-05	0.00174659262283641	0.00136540187635754	FSTL3/PIK3R1/LRRC17/UBASH3B/TNFAIP6/MAFB/TNFRSF11B/INPP5D	8
GO:0060048	cardiac muscle contraction	16/686	89/12179	3.21333994420299e-05	0.00174659262283641	0.00136540187635754	CACNB2/PDE5A/ABCC9/SGCD/ATP2A2/CLIC2/ADRA1B/FGF13/NEDD4L/SCN1B/KCNE3/STC1/CACNA1G/KCND3/ADORA1/PKP2	16
GO:0098771	inorganic ion homeostasis	39/686	350/12179	3.43505951585707e-05	0.00184376819513628	0.00144136905211423	CACNB2/STEAP2/MT2A/CXCL12/MT1E/TRPC6/SCN7A/STEAP4/SGCD/CORIN/PRKCE/SLC39A10/FAM20A/ATP2A2/CLIC2/MT1X/TRPA1/P2RX7/MT1M/BDKRB1/AGT/UBASH3B/KCNE3/ADCY8/STC1/SYPL2/CCL8/SFRP4/TRPV6/HMOX1/ADORA1/SLC24A3/CCL7/PLCG2/ENPP1/SCARA5/HTR2A/CCR1/CHD7	39
GO:0032970	regulation of actin filament-based process	35/686	301/12179	3.57904485924022e-05	0.00189733563278735	0.00148324549137324	PDPN/CXCL12/SYNPO2/FAM107A/CDC42EP3/DAAM2/GPM6B/LMOD1/ARHGAP28/WASF3/MYADM/PIK3R1/NEDD9/ACTA2/PRKCE/S1PR1/ATP2A2/CORO2B/FGF13/CCN2/CARMIL1/KANK1/DNAI3/SSH2/RAC3/MTSS1/SPTBN4/STC1/CRACD/PAK3/RGCC/ADORA1/EPHA5/PKP2/SIGLEC15	35
GO:0032890	regulation of organic acid transport	11/686	46/12179	3.64151086469606e-05	0.00190690825036645	0.00149072890212012	ACSL1/IRS2/ABAT/PLA2G4A/LEP/SLC38A2/P2RX7/THBS1/PER2/ADORA1/SLC7A5	11
GO:0045785	positive regulation of cell adhesion	38/686	339/12179	3.79216459558887e-05	0.0019618740690914	0.00153369852826035	PDPN/VCAM1/CXCL12/SOX4/FSTL3/LAMA2/ZBTB16/TGFBR2/IGFBP2/NR4A3/CITED2/CYTH3/FOXO3/MYADM/LIF/NEDD9/PRKCE/SMARCD2/LEP/NID1/DUSP10/MAP3K8/CARMIL1/LIMS2/SOCS1/VEGFA/TNFSF13B/TGFB2/RAC3/CCN1/IL12A/FRMD5/SFRP2/EGR3/EPHA4/TNFSF9/ICOSLG/IL4I1	38
GO:0072593	reactive oxygen species metabolic process	23/686	163/12179	4.16327923492395e-05	0.0021282286946147	0.00166374655140006	GPX3/FOXO1/TGFBR2/CBS/DCXR/CFLAR/LEP/CCN2/P2RX7/BRCA1/GCH1/THBS1/AGT/IER3/CCN1/H19/PDK4/ACP5/HBA1/PLCG2/XDH/MAOB/HBA2	23
GO:0030048	actin filament-based movement	16/686	91/12179	4.26840858228526e-05	0.0021562995826274	0.00168569101782139	CACNB2/PDPN/SUN2/ABCC9/SGCD/ACTA2/ATP2A2/FGF13/NEDD4L/SCN1B/KCNE3/STC1/CACNA1G/KCND3/ADORA1/PKP2	16
GO:0042417	dopamine metabolic process	8/686	25/12179	4.46567985297827e-05	0.00222972433589404	0.00174309094873289	MAOA/ABAT/GPR37/GCH1/TGFB2/SNCAIP/GRIN2A/MAOB	8
GO:0002761	regulation of myeloid leukocyte differentiation	15/686	82/12179	4.5686649553161e-05	0.0022549249790951	0.00176279159618912	FSTL3/LIF/PIK3R1/NEDD9/RASSF2/LRRC17/GPR68/IL34/UBASH3B/TNFAIP6/MAFB/TNFRSF11B/CAMK4/INPP5D/CCR1	15
GO:0090130	tissue migration	31/686	258/12179	5.32559744103019e-05	0.00259864947861177	0.00203149883246953	CCN3/AMOT/IRS2/DAAM2/TGFBR2/PIK3R3/ACTA2/PRKCE/DUSP10/RHOJ/PLK2/BMPER/GLUL/ROBO1/RHOB/SOX9/KANK1/ENPP2/VEGFA/TGFB2/THBS1/FGF10/AGT/STC1/NR4A1/ACTG2/RGCC/EGR3/HMOX1/PTGS2/PLCG2	31
GO:0048667	cell morphogenesis involved in neuron differentiation	44/686	422/12179	5.54832358236571e-05	0.00262714869882428	0.00205377814834668	NEXN/CXCL12/CCKAR/ADARB1/PLXNA4/LAMA2/PDLIM5/CRABP2/EPHB2/FLRT3/ADCY1/EPHB6/RPS6KA5/RND2/SEMA3A/EPHB3/GDNF/KIAA1755/ROBO1/PLEKHG4/FGF13/TNIK/ULK2/ARHGEF28/NEDD4L/SLITRK6/VEGFA/GDF7/SEMA6D/CHL1/RAC3/SCN1B/SPTBN4/PLPPR4/EGR2/PAK3/KALRN/FGFR2/NRXN3/CDH4/EPHA4/NGF/LGI1/EPHA5	44
GO:0090257	regulation of muscle system process	22/686	155/12179	5.55519842952869e-05	0.00262714869882428	0.00205377814834668	FOXO1/LMCD1/PDE5A/NR4A3/OXTR/ABAT/FOXO3/ATP2A2/CLIC2/ADRA1B/FGF13/AGT/STC1/NR4A1/PI16/ADRA2A/ARHGAP42/ADORA1/MSTN/PTGS2/PKP2/KCNB2	22
GO:0002573	myeloid leukocyte differentiation	23/686	166/12179	5.56754847678177e-05	0.00262714869882428	0.00205377814834668	FSTL3/TGFBR2/CITED2/LIF/PIK3R1/NEDD9/RASSF2/LRRC17/SOCS1/GPR68/VEGFA/IL34/UBASH3B/TNFAIP6/MAFB/TNFRSF11B/CAMK4/BATF3/INPP5D/IL31RA/BATF2/SIGLEC15/CCR1	23
GO:0050678	regulation of epithelial cell proliferation	31/686	259/12179	5.73412296606146e-05	0.00267633956698564	0.00209223319665561	CXCL12/WNT2/IRS2/KLF9/NR4A3/CFLAR/LEP/DUSP10/ST8SIA1/CDKN2B/ROBO1/LIMS2/SOX9/HMGB2/VEGFA/TGFB2/THBS1/FGF10/VASH2/MTSS1/COL4A3/NR4A1/GDF5/IL12A/FGFR2/ANG/RGCC/SFRP2/EGR3/HMOX1/XDH	31
GO:0030316	osteoclast differentiation	14/686	75/12179	6.45989105756646e-05	0.00295437082026807	0.00230958462134064	FSTL3/PIK3R1/NEDD9/RASSF2/LRRC17/GPR68/UBASH3B/TNFAIP6/MAFB/TNFRSF11B/CAMK4/INPP5D/SIGLEC15/CCR1	14
GO:0031589	cell-substrate adhesion	33/686	285/12179	6.4674163275547e-05	0.00295437082026807	0.00230958462134064	PDPN/VCAM1/COL1A1/FAM107A/GPM6B/ITGA11/STON1/MYADM/PIK3R1/ITGBL1/NEDD9/PRKCE/NID1/EPHB3/POSTN/ITGA10/CORO2B/CCN2/CARMIL1/LIMS2/APOD/KANK1/ITGA8/VEGFA/THBS1/RAC3/SORBS1/EDA/CCN1/MERTK/HPSE/PKP2/LYPD3	33
GO:0021675	nerve development	13/686	66/12179	6.559777193619e-05	0.00296447650899196	0.0023174847613991	VCAM1/ADARB1/PLXNA4/CITED2/EPHB2/SEMA3A/SLITRK6/MAFB/EGR2/KCNQ3/NGF/KCNA3/CHD7	13
GO:0010959	regulation of metal ion transport	29/686	237/12179	6.62761399308869e-05	0.00296447650899196	0.0023174847613991	CACNB2/PER1/CXCL12/TRPC6/FGF14/PRKCE/CLIC2/FGF13/P2RX7/EPB41/NEDD4L/BDKRB1/UBASH3B/SCN1B/KCNS1/SPTBN4/KCNE3/STC1/CAMK2A/ADRA2A/MCHR1/TMC2/ADORA1/RAMP3/PTGS2/PKP2/HTR2A/CCR1/CHD7	29
GO:0060326	cell chemotaxis	25/686	191/12179	6.99282150299515e-05	0.00309558510658363	0.0024199791397777	DUSP1/VCAM1/CXCL12/CCN3/DAPK2/NEDD9/S1PR1/HMGB2/VEGFA/TGFB2/THBS1/IL34/RAC3/TNFAIP6/NR4A1/IL12A/CCL8/ACKR4/CH25H/EGR3/CYP19A1/MSTN/CCL7/ACKR2/CCR1	25
GO:0046849	bone remodeling	13/686	67/12179	7.72659364414806e-05	0.00336512484635926	0.00263069230873917	TMEM119/LEP/S1PR1/RASSF2/P2RX7/LGR4/UBASH3B/TNFRSF11B/GDF5/PDK4/ACP5/INPP5D/SIGLEC15	13
GO:0090066	regulation of anatomical structure size	40/686	376/12179	7.75843874684599e-05	0.00336512484635926	0.00263069230873917	CXCL12/PLXNA4/CDC42EP3/DAAM2/LMOD1/CBS/CRABP2/OXTR/GCLM/ARHGAP28/MYADM/ACTA2/PRKCE/RND2/LEP/SEMA3A/ADRA1B/FGF13/ULK2/P2RX7/CARMIL1/KANK1/BDKRB2/SSH2/GCH1/VEGFA/SEMA6D/AGT/SPTBN4/CRACD/PAK3/ADRA2A/ARHGAP42/CDH4/PER2/ADORA1/NGF/PTGS2/ASIC2/HTR2A	40
GO:0050673	epithelial cell proliferation	35/686	315/12179	9.11595239824031e-05	0.00391438995980439	0.00306008128399877	CXCL12/WNT2/CCN3/FST/IRS2/KLF9/NR4A3/CFLAR/LEP/DUSP10/ST8SIA1/BMPER/CDKN2B/ROBO1/LIMS2/SOX9/HMGB2/LGR4/VEGFA/TGFB2/THBS1/FGF10/VASH2/MTSS1/COL4A3/NR4A1/GDF5/IL12A/FGFR2/ANG/RGCC/SFRP2/EGR3/HMOX1/XDH	35
GO:0046660	female sex differentiation	15/686	87/12179	9.28489388967077e-05	0.00394745884774716	0.00308593294571757	ADAMTS1/PTX3/INHBB/LHFPL2/FST/LEP/VEGFA/FGF10/TNFAIP6/DMC1/MERTK/ANG/LFNG/CYP19A1/CHD7	15
GO:0051051	negative regulation of transport	34/686	303/12179	9.43174323718114e-05	0.00395334547350268	0.00309053482582797	INHBB/RAB11FIP1/CCN3/SLC6A9/FOXO1/IRS2/GPM6B/EPHB2/ABAT/LIF/PRKCE/LEP/PKDCC/CLIC2/LRRTM2/PKIA/PRKG2/APOD/MCTP1/NEDD4L/THBS1/KCNE3/STC1/NRG1/IL12A/ADRA2A/SFRP4/SH3GL3/ADORA1/PTGS2/ACVR1C/ENPP1/MAOB/HTR2A	34
GO:0006816	calcium ion transport	31/686	266/12179	9.48287339941258e-05	0.00395334547350268	0.00309053482582797	CACNB2/CXCL12/TRPC6/SCN7A/PRKCE/ATP2A2/CLIC2/TRPA1/P2RX7/EPB41/BDKRB1/UBASH3B/PKD1L2/STC1/CACNA1G/CAMK2A/ADRA2A/CCL8/TRPV6/MCHR1/TMC2/SLC24A3/TMEM37/RAMP3/PTGS2/GRIN2A/PLCG2/CATSPER2/HTR2A/CCR1/CHD7	31
GO:0001523	retinoid metabolic process	11/686	51/12179	0.000100494216476093	0.0040817985720319	0.00319095326311125	CRABP2/PNPLA2/DHRS3/ALDH1A3/HSD17B6/ADH1B/ADH1A/ADH1C/PLB1/ABCA4/RBP1	11
GO:0050951	sensory perception of temperature stimulus	6/686	15/12179	0.000100855369298567	0.0040817985720319	0.00319095326311125	CXCL12/TRPA1/LXN/ADRA2A/ADORA1/HTR2A	6
GO:0050974	detection of mechanical stimulus involved in sensory perception	7/686	21/12179	0.000101206310574263	0.0040817985720319	0.00319095326311125	CXCL12/COL11A1/PIEZO2/TRPA1/TMC2/ASIC2/HTR2A	7
GO:0046850	regulation of bone remodeling	9/686	35/12179	0.000101712260644484	0.0040817985720319	0.00319095326311125	TMEM119/LEP/S1PR1/P2RX7/UBASH3B/TNFRSF11B/PDK4/INPP5D/SIGLEC15	9
GO:0001666	response to hypoxia	28/686	231/12179	0.000103968487666142	0.00413371005591126	0.0032315351575763	VCAM1/CXCL12/SOX4/HIF3A/CBS/CITED2/AGTRAP/ABAT/AQP3/CFLAR/LIF/PRKCE/LEP/POSTN/DDAH1/VEGFA/TGFB2/THBS1/STC1/FGFR2/ANG/RGCC/EPHA4/HMOX1/KCND2/ADORA1/HSD11B2/PTGS2	28
GO:0003206	cardiac chamber morphogenesis	15/686	88/12179	0.00010621919225327	0.00418445148197743	0.00327120235727356	ADAMTS1/SOX4/WNT2/COL11A1/TGFBR2/CITED2/DHRS3/ROBO1/TGFB2/CCN1/NRG1/FGFR2/SFRP2/PKP2/CHD7	15
GO:0045124	regulation of bone resorption	8/686	28/12179	0.000110389379009517	0.00430919994060789	0.00336872468575455	TMEM119/S1PR1/P2RX7/UBASH3B/TNFRSF11B/PDK4/INPP5D/SIGLEC15	8
GO:0007015	actin filament organization	39/686	370/12179	0.000115901919138659	0.00448362919622886	0.00350508506527439	CXCL12/SYNPO2/FAM107A/CDC42EP3/DAAM2/LMOD1/ARHGEF2/AIF1L/ARHGAP28/WASF3/MYADM/PIK3R1/NEDD9/MARCKSL1/PRKCE/RND2/S1PR1/RHOJ/CORO2B/MICAL2/CCN2/RHOB/CARMIL1/KANK1/GAS7/DNAI3/SSH2/CORO6/RAC3/SORBS1/MTSS1/SPTBN4/CRACD/GAS2L3/PAK3/ANG/RGCC/ELMO1/NEBL	39
GO:0036293	response to decreased oxygen levels	29/686	245/12179	0.000120236279562604	0.0046097730753734	0.00360369826621376	VCAM1/CXCL12/SOX4/HIF3A/CBS/CITED2/OXTR/AGTRAP/ABAT/AQP3/CFLAR/LIF/PRKCE/LEP/POSTN/DDAH1/VEGFA/TGFB2/THBS1/STC1/FGFR2/ANG/RGCC/EPHA4/HMOX1/KCND2/ADORA1/HSD11B2/PTGS2	29
GO:0048729	tissue morphogenesis	45/686	450/12179	0.000123066918320725	0.00467654289618757	0.00365589569189374	PDPN/ADARB1/WNT2/COL11A1/TBX18/FST/TGFBR2/CITED2/COL4A1/FLRT3/TXNRD1/NKD1/LIF/ACTA2/ALDH1A3/S1PR1/GDNF/ROBO1/MICAL2/RHOB/SOX9/LGR4/SPINT2/ITGA8/GCNT4/VEGFA/GDF7/TGFB2/FZD5/FGF10/AGT/MTSS1/RSPO2/CCN1/FRZB/STC1/NRG1/FGFR2/ADAMTS5/ACTG2/SFRP2/EPHA4/TMEM100/PKP2/CHD7	45
GO:0048589	developmental growth	48/686	491/12179	0.000127568574376144	0.00475657771060577	0.00371846304981782	CXCL12/PTX3/ADARB1/WNT2/PLXNA4/CCN3/GDF15/PDLIM5/TGFBR2/CRABP2/CITED2/FLRT3/KLF5/NKD1/CFLAR/RND2/LEP/PKDCC/DUSP10/S1PR1/SEMA3A/POSTN/FGF13/ULK2/APOD/SOX9/NEDD4L/SLITRK6/TENM4/VEGFA/TGFB2/SEMA6D/FGF10/RSPO2/SPTBN4/TNFAIP6/COL27A1/STC1/GDF5/PI16/FGFR2/SFRP2/CDH4/CYP19A1/NGF/MSTN/ACVR1C/CHD7	48
